               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1142,           0.0076997,                   0,           0.0034762,                   1,             0.01494,           0.0019711,            0.090433,           0.0015284,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.11413,           0.0074925,                   0,           0.0034924,                   1,           0.0098513,           0.0015759,            0.090056,           0.0015727,                   0,            0.095451,           0.0004505,           0.0004505
                   2,             0.11118,           0.0076219,                   0,           0.0035047,                   1,           0.0079546,            0.003033,            0.087618,           0.0017147,                   0,            0.092642,           0.0006416,           0.0006416
                   3,             0.12658,           0.0069319,                   0,           0.0023419,             0.66667,           0.0035162,           0.0014095,            0.084703,           0.0019013,                   0,            0.089773,           0.0007733,           0.0007733
                   4,             0.10949,            0.011078,                   0,           0.0023781,             0.66667,           0.0033169,           0.0010106,            0.084051,           0.0019483,                   0,            0.086846,           0.0008456,           0.0008456
                   5,            0.093254,           0.0078995,                   0,           0.0023474,             0.66667,           0.0028712,          0.00062333,            0.084341,           0.0019182,                   0,            0.083859,           0.0008585,           0.0008585
                   6,             0.11761,           0.0080844,                   0,           0.0023148,             0.66667,           0.0045121,           0.0010306,            0.084139,            0.001925,                   0,            0.080812,            0.000812,            0.000812
                   7,             0.11004,           0.0078503,                   0,           0.0022989,             0.66667,           0.0050217,          0.00097288,            0.083649,           0.0019484,                   0,            0.077706,           0.0007061,           0.0007061
                   8,              0.1054,           0.0088905,                   0,           0.0022857,             0.66667,           0.0050548,           0.0014117,            0.083215,           0.0019935,                   0,            0.074541,           0.0005408,           0.0005408
                   9,             0.12051,           0.0084172,                   0,           0.0022936,             0.66667,           0.0049531,           0.0015861,            0.082773,           0.0020412,                   0,            0.071316,           0.0003161,           0.0003161
